"Title";"Type";"Rootfolder";"LibraryName";"Language";"Fallback";"TextTruncated";"Download Source";"Fav Provider Link"
"The Grand Budapest Hotel";"Movie";"The Grand Budapest Hotel (2014)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/ykgRzu62hDXGR6wxtOnXyUWbOOq.jpg";"https://www.themoviedb.org/movie/120467/images/posters"
"Grandma's Boy";"Movie";"Grandma's Boy (2006)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/cVY0iFEY0Nx1ZjWai2E96bmaaJc.jpg";"https://www.themoviedb.org/movie/9900/images/posters"
"Grave of the Fireflies";"Movie";"11. Movies - Studio Ghibli";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/823qQzmY52Nus91mEVc0oY1an1Q.jpg";"https://www.themoviedb.org/movie/12477/images/posters"
"The Great Debaters";"Movie";"The Great Debaters (2007)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/urYvhMKCJegWDxy0FUjR61naaK5.jpg";"https://www.themoviedb.org/movie/14047/images/posters"
"The Great Mouse Detective";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/jFE5YeuboUrSqr2y8mNDv7li9m5.jpg";"https://www.themoviedb.org/movie/9994/images/posters"
"Green Lantern: Beware My Power";"Movie";"2. Movies - DC";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/wqFJJ8DPE2UAWkAebaMMjzXIbz9.jpg";"https://www.themoviedb.org/movie/887357/images/posters"
"Green Street Hooligans";"Movie";"Green Street Hooligans (2005)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/sMqAhsO9lIOJY5vY50plkOqYbBs.jpg";"https://www.themoviedb.org/movie/8923/images/posters"
"Greenland";"Movie";"Greenland (2020)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/kzQar0xQea6ZbCXpblA2h1mMUv3.jpg";"https://www.themoviedb.org/movie/524047/images/posters"
"Gremlins";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/vma8Tzy9PhiALesrhBxH2wsh2nx.jpg";"https://www.themoviedb.org/movie/927/images/posters"
"Gremlins 2: The New Batch";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/fzcFeTMUIVaAWxxyN8G9F08Btv1.jpg";"https://www.themoviedb.org/movie/928/images/posters"
"The Grinch";"Movie";"3. Movies - Holiday";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/qiGtxcP4PVV3HPgtTl1dA3eTXwi.jpg";"https://www.themoviedb.org/movie/360920/images/posters"
"Grown Ups";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/2N8BOBKNzOtEZYRH6EAfPIwH429.jpg";"https://www.themoviedb.org/movie/38365/images/posters"
"Grown Ups 2";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/sscOPm9ohFTS1obOrPNA6pEYdKZ.jpg";"https://www.themoviedb.org/movie/109418/images/posters"
"The Grudge 2";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/8GOgCjqxyQFMvOBrqfDWCwsnlDL.jpg";"https://www.themoviedb.org/movie/1975/images/posters"
"The Grudge 3";"Movie";"4. Movies - Horror";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/auxu4XhXCgxX3mbAhswFSv3pnf2.jpg";"https://www.themoviedb.org/movie/1977/images/posters"
