"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"National Lampoon's European Vacation";;;;;"1985";"1774";"tt0089670";"11418";"43978";"/data/Movies/";"3. Movies - Holiday";"False";"/library/metadata/43978/thumb/1728225747";"/library/metadata/43978/art/1728225747";
"Movies";"movie";"en";"National Treasure";;;;;"2004";"726";"tt0368891";"2059";"14082";"/data/Movies/";"9. Movies - Series";"True";"/library/metadata/14082/thumb/1728225748";"/library/metadata/14082/art/1728225748";
"Movies";"movie";"en";"National Treasure: Book of Secrets";;;;;"2007";"692";"tt0465234";"6637";"14113";"/data/Movies/";"National Treasure Book of Secrets (2007)";"True";"/library/metadata/14113/thumb/1728225748";"/library/metadata/14113/art/1728225748";
"Movies";"movie";"en";"Nausicaä of the Valley of the Wind";"風の谷のナウシカ";;;;"1984";"1206";"tt0087544";"81";"44206";"/data/Movies/";"11. Movies - Studio Ghibli";"False";"/library/metadata/44206/thumb/1728225749";"/library/metadata/44206/art/1728225749";
"Movies";"movie";"en";"Never Say Never Again";;;;;"1983";"4831";"tt0086006";"36670";"43532";"/data/Movies/";"5. Movies - James Bond";"False";"/library/metadata/43532/thumb/1728225749";"/library/metadata/43532/art/1728225749";
"Movies";"movie";"en";"New Initial D the Movie - Legend 1: Awakening";"新劇場版「頭文字D」Legend1 -覚醒-";;;;"2014";"28943";"tt3971764";"271709";"52038";"/data/Movies/";"12. Movies - Anime";"False";"/library/metadata/52038/thumb/1728225750";;
"Movies";"movie";"en";"New Initial D the Movie - Legend 2: Racer";"新劇場版「頭文字D」Legend2 -闘走-";;;;"2015";"75867";"tt4971484";"321487";"52039";"/data/Movies/";"12. Movies - Anime";"False";"/library/metadata/52039/thumb/1728225750";"/library/metadata/52039/art/1728225750";
"Movies";"movie";"en";"New Initial D the Movie - Legend 3: Dream";"新劇場版「頭文字D」Legend3-夢現-";;;;"2016";"23811";"tt5463088";"372758";"52040";"/data/Movies/";"12. Movies - Anime";"False";"/library/metadata/52040/thumb/1728225750";"/library/metadata/52040/art/1728225750";
"Movies";"movie";"en";"The New Mutants";;;;;"2020";"2599";"tt4682266";"340102";"39697";"/data/Movies/";"7. Movies - Marvel";"False";"/library/metadata/39697/thumb/1728225751";"/library/metadata/39697/art/1728225751";
"Movies";"movie";"en";"New Nightmare";"Wes Craven's New Nightmare";;;;"1994";"1546";"tt0111686";"11596";"40359";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40359/thumb/1728225751";"/library/metadata/40359/art/1728225751";
"Movies";"movie";"en";"Next Avengers: Heroes of Tomorrow";;;;;"2008";"6291";"tt1259998";"14613";"39868";"/data/Movies/";"7. Movies - Marvel";"False";"/library/metadata/39868/thumb/1728225752";"/library/metadata/39868/art/1728225752";
"Movies";"movie";"en";"Night at the Museum";;;;;"2006";"601";"tt0477347";"1593";"42262";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42262/thumb/1728225752";"/library/metadata/42262/art/1728225752";
"Movies";"movie";"en";"Night at the Museum: Secret of the Tomb";;;;;"2014";"193";"tt2692250";"181533";"42264";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42264/thumb/1728225753";"/library/metadata/42264/art/1728225753";
"Movies";"movie";"en";"The Nightmare Before Christmas";;;;;"1993";"1498";"tt0107688";"9479";"38719";"/data/Movies/";"1. Movies - Animated";"True";"/library/metadata/38719/thumb/1728225753";"/library/metadata/38719/art/1728225753";
"Movies";"movie";"en";"A Nightmare on Elm Street";;;;;"1984";"710";"tt0087800";"377";"40333";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40333/thumb/1728225754";"/library/metadata/40333/art/1728225754";
"Movies";"movie";"en";"A Nightmare on Elm Street";;;;;"2010";"1337";"tt1179056";"23437";"40335";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40335/thumb/1728225754";"/library/metadata/40335/art/1728225754";
"Movies";"movie";"en";"A Nightmare on Elm Street 2: Freddy's Revenge";"A Nightmare on Elm Street Part 2: Freddy's Revenge";;;;"1985";"912";"tt0089686";"10014";"40349";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40349/thumb/1728225755";"/library/metadata/40349/art/1728225755";
"Movies";"movie";"en";"A Nightmare on Elm Street 3: Dream Warriors";;;;;"1987";"1065";"tt0093629";"10072";"40336";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40336/thumb/1728225755";"/library/metadata/40336/art/1728225755";
"Movies";"movie";"en";"A Nightmare on Elm Street 4: The Dream Master";;;;;"1988";"2437";"tt0095742";"10131";"40340";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40340/thumb/1728225756";"/library/metadata/40340/art/1728225756";
"Movies";"movie";"en";"A Nightmare on Elm Street: The Dream Child";;;;;"1989";"1739";"tt0097981";"10160";"40352";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40352/thumb/1728225756";"/library/metadata/40352/art/1728225756";
"Movies";"movie";"en";"Nine Days";;;;;"2020";"141551";"tt10451852";"607430";"14121";"/data/Movies/";"Nine Days (2021)";"False";"/library/metadata/14121/thumb/1728225757";"/library/metadata/14121/art/1728225757";
"Movies";"movie";"en";"No Country for Old Men";;;;;"2007";"207";"tt0477348";"6977";"14126";"/data/Movies/";"No Country for Old Men (2007)";"False";"/library/metadata/14126/thumb/1728225757";"/library/metadata/14126/art/1728225757";
"Movies";"movie";"en";"No Sudden Move";;;;;"2021";"161788";"tt11525644";"649409";"13388";"/data/Movies/";"No Sudden Move (2021)";"False";"/library/metadata/13388/thumb/1728225758";"/library/metadata/13388/art/1728225758";
"Movies";"movie";"en";"No Time to Die";;;;;"2021";"131152";"tt2382320";"370172";"43533";"/data/Movies/";"5. Movies - James Bond";"False";"/library/metadata/43533/thumb/1728225758";"/library/metadata/43533/art/1728225758";
