"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"Slumdog Millionaire";;;;;"2008";"1166";"tt1010048";"12405";"12252";"/data/Movies/";"Slumdog Millionaire (2008)";"False";"/library/metadata/12252/thumb/1728423266";"/library/metadata/12252/art/1728423266";
"Movies";"movie";"en";"Snow Buddies";;;;;"2008";"7653";"tt1079448";"14059";"63475";"/data/Movies/";"Snow Buddies (2008)";"False";"/library/metadata/63475/thumb/1728495299";"/library/metadata/63475/art/1728495299";
"Movies";"movie";"en";"Snow Dogs";;;;;"2002";"4464";"tt0281373";"11888";"63703";"/data/Movies/";"Snow Dogs (2002)";"False";"/library/metadata/63703/thumb/1728495378";"/library/metadata/63703/art/1728495378";
"Movies";"movie";"en";"Snow White and the Seven Dwarfs";;;;;"1937";"269";"tt0029583";"408";"63842";"/data/Movies/";"Snow White and the Seven Dwarfs (1937)";"False";"/library/metadata/63842/thumb/1728495407";"/library/metadata/63842/art/1728495407";
"Movies";"movie";"en";"Snowball Express";;;;;"1972";"39441";"tt0069291";"32140";"63690";"/data/Movies/";"Snowball Express (1972)";"False";"/library/metadata/63690/thumb/1728495372";"/library/metadata/63690/art/1728495372";
"Movies";"movie";"en";"So Dear to My Heart";;;;;"1948";"31807";"tt0041890";"29682";"61613";"/data/Movies/";"So Dear to My Heart (1948)";"False";"/library/metadata/61613/thumb/1728487795";"/library/metadata/61613/art/1728487795";
"Movies";"movie";"en";"Sofia the First: Once Upon a Princess";;;;;"2012";;"tt2137286";"144616";"63754";"/data/Movies/";"Sofia the First Once Upon a Princess (2012)";"False";"/library/metadata/63754/thumb/1728495397";"/library/metadata/63754/art/1728495397";
"Movies";"movie";"en";"Solo: A Star Wars Story";;;;;"2018";"60";"tt3778644";"348350";"43296";"/data/Movies/";"Solo A Star Wars Story (2018)";"False";"/library/metadata/43296/thumb/1728423266";"/library/metadata/43296/art/1728423266";
"Movies";"movie";"en";"Some Like It Hot";;;;;"1959";"2024";"tt0053291";"239";"12263";"/data/Movies/";"Some Like It Hot (1959)";"False";"/library/metadata/12263/thumb/1728423267";"/library/metadata/12263/art/1728423267";
"Movies";"movie";"en";"Something Wicked This Way Comes";;;;;"1983";"11470";"tt0086336";"24808";"63851";"/data/Movies/";"Something Wicked This Way Comes (1983)";"False";"/library/metadata/63851/thumb/1728495407";"/library/metadata/63851/art/1728495407";
"Movies";"movie";"en";"Son of Batman";;;;;"2014";"5355";"tt3139072";"251519";"61007";"/data/Movies/";"Son Of Batman 2014";"False";"/library/metadata/61007/thumb/1728423267";"/library/metadata/61007/art/1728423267";
